title,url,budget,client,posted_date,crawled_at
【動画編集】30秒程度の短尺ショート動画編集者を募集いたします【長期】※男性の方を優先しています,https://crowdworks.jp/public/jobs/11619115,"5,000",ch11,2025-01-09,2025-01-17T00:15:48.184576
★女性・経験者歓迎★【完全在宅・ママさん・副業・隙間時間に！】ebayリサーチ作業 ◎1件70円＋10%利益還元◎ 長期案件,https://crowdworks.jp/public/jobs/11629019,予算未設定,gomadango_1,2025-01-13,2025-01-17T00:15:48.185198
【完了率98％】在宅のスキマ時間で働ける！｜女性ファッション誌の広告企画｜インスタDM｜マニュアル完備で初心者も安心！,https://crowdworks.jp/public/jobs/11633037,"10,000",株式会社フィボナッチ,2025-01-14,2025-01-17T00:15:48.185359
【文字単価1.5円】スノーボード好き必見！スノーボードで役立つ情報を発信するライターを募集！！,https://crowdworks.jp/public/jobs/11644541,"50,000",yoshimaru314,2025-01-17,2025-01-17T00:15:48.185494
kawauchionigiri 様 支払い用フォーム,https://crowdworks.jp/public/jobs/11644537,予算未設定,guchiken,2025-01-17,2025-01-17T00:15:48.185667
【簡単！】スマホで動作確認するだけ【実績つけます】,https://crowdworks.jp/public/jobs/11644536,110,AD/Media,2025-01-17,2025-01-17T00:15:48.185854
片手間でok！入力業務のお仕事です。,https://crowdworks.jp/public/jobs/11644532,予算未設定,CABON,2025-01-17,2025-01-17T00:15:48.186192
【初心者歓迎】ビジネス系YouTubeサムネ作成依頼！,https://crowdworks.jp/public/jobs/11644531,"10,000",m.u333,2025-01-17,2025-01-17T00:15:48.186360
【SNS運用代行！】ビジネス系のInstagramの運用代行のお仕事,https://crowdworks.jp/public/jobs/11644530,"50,000",m.i33,2025-01-17,2025-01-17T00:15:48.186500
【初心者可！】ビジネス系Youtubeのサムネ作成依頼！,https://crowdworks.jp/public/jobs/11644529,"5,000",m.i33,2025-01-17,2025-01-17T00:15:48.186631
【完全在宅！スマホ1台！誰でも簡単！初心者・ママさん大歓迎】SNSショート動画のナレーター募集,https://crowdworks.jp/public/jobs/11644528,"50,000",司馬ユウリ,2025-01-17,2025-01-17T00:15:48.186781
【brainのようなサムネ】記事サムネイルが作成できる方募集！,https://crowdworks.jp/public/jobs/11644520,"5,000",leveninc7,2025-01-17,2025-01-17T00:15:48.186920
簡単作業！単価5円！Google検索で整骨院情報をリスト化するお仕事（初心者歓迎）,https://crowdworks.jp/public/jobs/11644519,"5,000",chn_li0301,2025-01-17,2025-01-17T00:15:48.187069
【急募！女性・経験者歓迎します】海外ECサイトのリサーチ業務☆１日２～３時間の作業で高収益！やればやるほど稼げます☆,https://crowdworks.jp/public/jobs/11603273,予算未設定,rrum01,2025-01-06,2025-01-17T00:15:48.187234
【完全在宅事務】【マニュアル有り】 時給1500円 昇給可！★20代向け転職支援サービスの事務スタッフ募集★未経験歓迎＾＾,https://crowdworks.jp/public/jobs/11631411,予算未設定,きの＠ショート動画製作所,2025-01-14,2025-01-17T00:15:48.187413
[簡単]飲料に関するアンケート調査依頼,https://crowdworks.jp/public/jobs/11644518,11,takumunagata,2025-01-17,2025-01-17T00:15:48.187531
☆評価つけます☆ネットショップの利用に関するアンケート,https://crowdworks.jp/public/jobs/11644517,"5,000",O.aiko,2025-01-17,2025-01-17T00:15:48.187715
楽天市場トップページ向け、ヘッダー画像（バナー画像）制作依頼,https://crowdworks.jp/public/jobs/11644436,予算未設定,株式会社LuuQs,2025-01-17,2025-01-17T00:15:48.187869
【1000円/30分】SNSを使った副業にどのくらい興味あるかを教えてください（ZOOMで簡単おしゃべり！）,https://crowdworks.jp/public/jobs/11644514,"50,000",IG＿IG,2025-01-17,2025-01-17T00:15:48.187985
【21】すきま時間におすすめ！アクセサリーパーツの作成。内職,https://crowdworks.jp/public/jobs/11644511,"4,400",クラフトパーツ,2025-01-17,2025-01-17T00:15:48.188098
【20】すきま時間におすすめ！アクセサリーパーツの作成。内職,https://crowdworks.jp/public/jobs/11631558,"4,400",クラフトパーツ,2025-01-16,2025-01-17T00:15:48.188211
【実績で★5つけます！】フリーランスに興味がある方、インタビューにご協力お願いします！,https://crowdworks.jp/public/jobs/11644495,"50,000",IG_GUAM,2025-01-16,2025-01-17T00:15:48.188325
在宅OK・スキル不要｜人気かんたん案件（所要時間：約20秒）,https://crowdworks.jp/public/jobs/11644493,予算未設定,Apri01,2025-01-16,2025-01-17T00:15:48.188481
【主婦(夫)、女性大歓迎‼︎】在宅ワークに関するアンケート,https://crowdworks.jp/public/jobs/11644491,11,kokoroodoru1999,2025-01-16,2025-01-17T00:15:48.188593
【文字単価1.5円】格闘技ショート動画台本作成 長期継続大歓迎！,https://crowdworks.jp/public/jobs/11644487,"5,000",shancunhongyeoss,2025-01-16,2025-01-17T00:15:48.188716
【副業！経験者優遇！主婦&未経験者も大歓迎です】海外物販サイトeBayでの出品商品リサーチ業務 ※研修もしっかり行います,https://crowdworks.jp/public/jobs/11608216,予算未設定,きょうへい02,2025-01-07,2025-01-17T00:15:48.188874
【1件500円！】施術経験がある✨美容クリニック・外科・皮膚科✨に関する経験談を教えてください！【写真付きで+500円】,https://crowdworks.jp/public/jobs/11639795,予算未設定,mp0119,2025-01-15,2025-01-17T00:15:48.189029
草野球チームの試合動画撮影および編集依頼,https://crowdworks.jp/public/jobs/11644485,"50,000",ryo_rr,2025-01-16,2025-01-17T00:15:48.189152
